State Code,County Code,Site Number,Parameter Code,Parameter Name,Latitude,Longitude,Local Site Name,County Name
6,1,7,88101,PM2.5 - Local Conditions,37.687526,-121.784217,Livermore,Alameda
6,1,7,88101,PM2.5 - Local Conditions,37.687526,-121.784217,Livermore,Alameda
6,1,9,88101,PM2.5 - Local Conditions,37.743065,-122.169935,Oakland,Alameda
6,1,9,88101,PM2.5 - Local Conditions,37.743065,-122.169935,Oakland,Alameda
6,1,11,88101,PM2.5 - Local Conditions,37.814781,-122.282347,Oakland West,Alameda
6,1,12,88101,PM2.5 - Local Conditions,37.793624,-122.263376,Laney College,Alameda
6,1,13,88101,PM2.5 - Local Conditions,37.864767,-122.302741,Berkeley- Aquatic Park,Alameda
6,1,15,88101,PM2.5 - Local Conditions,37.701222,-121.903019,Pleasanton - Owens Ct,Alameda
6,1,16,88101,PM2.5 - Local Conditions,37.68975,-121.77155,Livermore Portola,Alameda
6,1,1001,88101,PM2.5 - Local Conditions,37.535833,-121.961823,Fremont - Chapel Way,Alameda
6,1,1001,88101,PM2.5 - Local Conditions,37.535833,-121.961823,Fremont - Chapel Way,Alameda
6,1,1001,88101,PM2.5 - Local Conditions,37.535833,-121.961823,Fremont - Chapel Way,Alameda
6,7,2,88101,PM2.5 - Local Conditions,39.757371,-121.843286,Chico-Manzanita Ave.,Butte
6,7,8,88101,PM2.5 - Local Conditions,39.76168,-121.84047,Chico-East Avenue,Butte
6,7,8,88101,PM2.5 - Local Conditions,39.76168,-121.84047,Chico-East Avenue,Butte
6,9,1,88101,PM2.5 - Local Conditions,38.20185,-120.680277,San Andreas-Gold Strike Road,Calaveras
6,9,1,88101,PM2.5 - Local Conditions,38.20185,-120.680277,San Andreas-Gold Strike Road,Calaveras
6,11,7,88101,PM2.5 - Local Conditions,39.021221,-122.281803,Cortina Indian Rancheria,Colusa
6,11,1002,88101,PM2.5 - Local Conditions,39.18919,-121.99887,Colusa-Sunrise Blvd,Colusa
6,11,1002,88101,PM2.5 - Local Conditions,39.18919,-121.99887,Colusa-Sunrise Blvd,Colusa
6,13,2,88101,PM2.5 - Local Conditions,37.936013,-122.026154,Concord,Contra Costa
6,13,2,88101,PM2.5 - Local Conditions,37.936013,-122.026154,Concord,Contra Costa
6,13,2,88101,PM2.5 - Local Conditions,37.936013,-122.026154,Concord,Contra Costa
6,13,1004,88101,PM2.5 - Local Conditions,37.9604,-122.356811,San Pablo,Contra Costa
6,15,7,88101,PM2.5 - Local Conditions,41.75613,-124.20347,Crescent City-Crescent Elk School,Del Norte
