Monitor_IDs,PM25_Before,PM25_After,PM25_Change,Percent_Change,Grand Total
6-007-0008,239.1,313,73.9,30.90757005,552.1
6-011-0007,406.230305,344.676517,-61.553788,-15.15243625,750.906822
6-011-1002,33.9,52.6,18.7,55.16224189,86.5
6-057-0005,251.822229,497.739131,245.916902,97.65496199,749.56136
6-061-0003,417.786957,566.864886,149.077929,35.68276283,984.651843
6-061-0006,43.6,90.2,46.6,106.8807339,133.8
6-063-1006,352.5,369.5,17,4.822695035,722
6-063-1010,174.6,253.1,78.5,44.95990836,427.7
6-101-0003,222.1,376.9,154.8,69.69833408,599
6-103-0007,133.594563,327.781885,194.187322,145.3557073,461.376448
Grand Total,2275.234054,3192.362419,917.128365,40.30918768,5467.596473
